 type |   user   |  database  | state  |   addr    | port  | local_addr | local_port |      connect_time       |      request_time       | wait | wait_us | close_needed |      ptr       |      link      | remote_pid | tls |    application_name    | prepared_statements 
------+----------+------------+--------+-----------+-------+------------+------------+-------------------------+-------------------------+------+---------+--------------+----------------+----------------+------------+-----+------------------------+---------------------
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 53416 | 127.0.0.1  |       6432 | 2026-09-18 07:08:58 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e989ffd80 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 53432 | 127.0.0.1  |       6432 | 2026-09-18 07:08:58 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a00030 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 53434 | 127.0.0.1  |       6432 | 2026-09-18 07:08:58 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a002e0 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 53450 | 127.0.0.1  |       6432 | 2026-09-18 07:08:59 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a00590 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 53466 | 127.0.0.1  |       6432 | 2026-09-18 07:08:59 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a00840 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 40940 | 127.0.0.1  |       6432 | 2026-09-18 07:09:11 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a01dc0 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 40954 | 127.0.0.1  |       6432 | 2026-09-18 07:09:12 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a02320 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 40970 | 127.0.0.1  |       6432 | 2026-09-18 07:09:12 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a02880 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 41006 | 127.0.0.1  |       6432 | 2026-09-18 07:09:12 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a03090 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 41038 | 127.0.0.1  |       6432 | 2026-09-18 07:09:12 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a038a0 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 41072 | 127.0.0.1  |       6432 | 2026-09-18 07:09:12 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a04360 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 41062 | 127.0.0.1  |       6432 | 2026-09-18 07:09:12 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a040b0 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 41104 | 127.0.0.1  |       6432 | 2026-09-18 07:09:12 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a04e20 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 41116 | 127.0.0.1  |       6432 | 2026-09-18 07:09:13 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a050d0 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 41090 | 127.0.0.1  |       6432 | 2026-09-18 07:09:12 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a048c0 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 41148 | 127.0.0.1  |       6432 | 2026-09-18 07:09:13 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a05630 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 41172 | 127.0.0.1  |       6432 | 2026-09-18 07:09:13 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a063a0 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 41152 | 127.0.0.1  |       6432 | 2026-09-18 07:09:13 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a05b90 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 41192 | 127.0.0.1  |       6432 | 2026-09-18 07:09:13 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a06900 |                |          0 |     | PostgreSQL JDBC Driver |                   1
 C    | postgres | hikaricp-1 | active | 127.0.0.1 | 41208 | 127.0.0.1  |       6432 | 2026-09-18 07:09:13 UTC | 2026-09-18 07:09:47 UTC |    0 |       0 |            0 | 0x559e98a06bb0 |                |          0 |     | PostgreSQL JDBC Driver |                   1
